âÒçÜ,íäÇπÇÒì˙,íäÇπÇÒójì˙,íäÇπÇÒêîéöÇP,íäÇπÇÒêîéöÇQ,íäÇπÇÒêîéöÇR,íäÇπÇÒêîéöÇS,íäÇπÇÒêîéöÇT,íäÇπÇÒêîéöÇU,íäÇπÇÒêîéöÇV,É{Å[ÉiÉXêîéöÇP,É{Å[ÉiÉXêîéöÇQ,ÅyÇPìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇPìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇQìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇQìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇRìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇRìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇSìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇSìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇTìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇTìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÅyÇUìôÅzìñÇπÇÒã‡äzÅiíPà ÅFâ~Åj,ÅyÇUìôÅzìñÇπÇÒå˚êîÅiíPà ÅFå˚Åj,ÉLÉÉÉäÅ[ÉIÅ[ÉoÅ[ã‡äzÅiíPà ÅFâ~Åj
ëÊ0484âÒ,"2022/08/19",ã‡ójì˙,"01","04","06","09","13","22","31","29","30","1,000,000,000","2","7,291,500","13","579,400","229","8,000","9,708","1,300","143,522","1,000","233,469","1,016,148,635"
ëÊ0483âÒ,"2022/08/12",ã‡ójì˙,"02","11","20","23","25","36","37","29","34","1,000,000,000","1","11,551,300","8","1,002,800","129","11,000","6,841","1,600","111,896","1,200","190,202","2,448,680,740"
ëÊ0482âÒ,"2022/08/05",ã‡ójì˙,"02","05","14","15","17","19","36","08","34","1,000,000,000","1","11,429,800","9","1,220,400","118","11,100","7,589","1,500","130,819","1,000","247,403","2,892,776,345"
ëÊ0481âÒ,"2022/07/29",ã‡ójì˙,"01","10","13","14","16","25","27","05","21","0","0","16,151,700","6","1,149,700","118","11,500","6,897","1,600","118,307","1,100","216,994","3,264,697,670"
ëÊ0480âÒ,"2022/07/22",ã‡ójì˙,"10","13","19","21","26","30","36","22","34","0","0","10,318,300","9","838,700","155","10,400","7,296","1,500","119,253","1,100","200,243","2,683,003,435"
ëÊ0479âÒ,"2022/07/15",ã‡ójì˙,"08","11","13","18","24","30","31","21","23","1,000,000,000","1","8,936,600","11","628,400","219","8,100","9,962","1,300","149,706","1,000","240,651","2,114,492,070"
ëÊ0478âÒ,"2022/07/08",ã‡ójì˙,"06","08","11","13","16","20","32","12","34","0","0","7,921,900","12","853,100","156","9,900","7,836","1,400","130,318","1,000","216,219","2,525,811,230"
ëÊ0477âÒ,"2022/07/01",ã‡ójì˙,"02","05","09","19","25","32","37","07","29","0","0","7,454,500","12","797,600","157","9,200","7,914","1,500","120,998","1,000","221,337","1,933,822,255"
ëÊ0476âÒ,"2022/06/24",ã‡ójì˙,"04","07","09","15","22","24","31","21","37","1,000,000,000","1","9,773,300","10","560,700","244","7,700","10,292","1,200","152,643","1,000","230,108","1,404,246,345"
ëÊ0475âÒ,"2022/06/17",ã‡ójì˙,"01","02","22","24","26","31","37","12","19","0","0","18,160,100","5","1,115,000","114","12,000","6,213","1,700","107,193","1,100","203,328","1,798,521,465"
ëÊ0474âÒ,"2022/06/10",ã‡ójì˙,"03","17","19","21","24","32","34","27","28","0","0","6,815,000","12","880,700","130","9,900","6,755","1,500","106,983","1,000","194,233","1,258,629,865"
ëÊ0473âÒ,"2022/06/03",ã‡ójì˙,"06","11","21","24","28","33","37","08","27","0","0","6,335,900","11","687,100","142","9,900","5,725","1,500","93,098","1,000","172,867","761,236,930"
ëÊ0472âÒ,"2022/05/27",ã‡ójì˙,"05","07","08","32","33","34","36","04","06","0","0","4,049,300","14","967,800","82","10,800","4,297","1,500","75,806","1,000","129,676","347,257,105"
ëÊ0471âÒ,"2022/05/20",ã‡ójì˙,"03","05","07","08","11","19","34","17","32","261,527,700","3","6,397,500","11","526,800","187","7,000","8,192","1,100","121,220","900","178,602","0"
ëÊ0470âÒ,"2022/05/13",ã‡ójì˙,"02","03","09","16","27","32","36","01","34","0","0","9,324,200","6","699,300","112","8,500","5,344","1,300","81,283","1,100","120,313","345,223,985"
ëÊ0469âÒ,"2022/05/06",ã‡ójì˙,"01","06","08","13","16","30","33","23","28","766,258,900","1","5,286,800","13","734,400","131","9,600","5,855","1,400","93,468","1,000","165,111","0"
ëÊ0468âÒ,"2022/04/29",ã‡ójì˙,"03","12","15","16","25","29","37","26","28","0","0","11,266,000","5","804,600","98","9,400","4,877","1,400","77,645","1,000","132,332","346,112,810"
ëÊ0467âÒ,"2022/04/22",ã‡ójì˙,"07","08","11","13","14","26","30","31","34","363,023,100","1","9,705,400","6","455,400","179","7,100","6,731","1,100","99,161","900","149,425","0"
ëÊ0466âÒ,"2022/04/15",ã‡ójì˙,"05","06","08","14","15","25","29","18","33","371,149,000","1","7,481,800","8","654,600","128","9,100","5,359","1,300","88,609","900","152,760","0"
ëÊ0465âÒ,"2022/04/08",ã‡ójì˙,"01","04","05","13","27","31","35","15","22","612,005,700","2","6,252,400","13","801,300","142","8,900","7,444","1,400","116,902","900","204,646","0"
ëÊ0464âÒ,"2022/04/01",ã‡ójì˙,"07","08","13","17","30","32","36","01","10","0","0","9,548,700","8","914,000","117","10,600","5,875","1,500","102,330","1,000","174,414","724,731,120"
ëÊ0463âÒ,"2022/03/25",ã‡ójì˙,"03","07","13","16","19","24","30","06","10","1,000,000,000","1","9,731,500","8","707,700","154","8,900","7,118","1,400","111,334","1,000","188,197","256,511,440"
ëÊ0462âÒ,"2022/03/18",ã‡ójì˙,"07","11","24","27","29","34","35","04","18","0","0","11,907,300","6","752,000","133","9,100","6,434","1,300","103,904","900","189,153","789,093,935"
ëÊ0461âÒ,"2022/03/11",ã‡ójì˙,"02","13","19","22","32","35","37","14","33","0","0","19,282,900","3","975,700","83","10,500","4,496","1,500","74,309","1,100","128,410","350,130,755"
ëÊ0460âÒ,"2022/03/04",ã‡ójì˙,"05","06","09","23","27","28","30","04","13","185,574,900","2","4,563,200","13","561,100","148","8,000","6,069","1,200","94,014","800","167,614","0"
ëÊ0459âÒ,"2022/02/25",ã‡ójì˙,"02","04","07","08","10","20","29","14","33","876,605,800","2","8,363,400","10","509,000","230","7,700","8,888","1,300","124,348","1,000","190,387","0"
ëÊ0458âÒ,"2022/02/18",ã‡ójì˙,"07","11","12","14","19","21","33","06","37","0","0","6,468,500","12","928,800","117","9,000","7,029","1,400","109,832","1,000","188,961","1,233,867,515"
ëÊ0457âÒ,"2022/02/11",ã‡ójì˙,"07","14","19","27","31","35","36","09","33","0","0","16,901,700","4","606,700","156","9,000","6,114","1,400","92,737","1,000","158,458","767,606,325"
ëÊ0456âÒ,"2022/02/04",ã‡ójì˙,"09","15","17","18","22","25","31","33","36","0","0","9,803,400","6","669,400","123","8,700","5,498","1,400","84,291","1,000","143,919","351,220,380"
ëÊ0455âÒ,"2022/01/28",ã‡ójì˙,"01","05","08","15","18","26","36","33","34","358,799,300","1","8,585,100","7","701,100","120","9,100","5,411","1,400","84,271","1,100","135,713","0"
ëÊ0454âÒ,"2022/01/21",ã‡ójì˙,"08","17","21","26","27","29","31","01","33","184,610,500","2","29,617,300","2","999,100","83","9,800","4,926","1,400","80,565","1,000","135,336","0"
ëÊ0453âÒ,"2022/01/14",ã‡ójì˙,"02","08","10","21","24","26","35","09","13","392,246,900","1","9,075,300","7","966,700","92","8,800","5,910","1,500","84,399","900","158,899","0"
ëÊ0452âÒ,"2022/01/07",ã‡ójì˙,"05","17","20","21","31","34","35","08","27","139,643,300","3","5,845,400","12","926,400","106","10,900","5,256","1,600","86,784","1,100","157,415","0"
ëÊ0451âÒ,"2021/12/24",ã‡ójì˙,"02","15","22","25","28","33","37","10","17","835,216,700","1","19,135,200","4","1,116,200","96","9,900","6,319","1,500","99,065","1,100","173,320","0"
ëÊ0450âÒ,"2021/12/17",ã‡ójì˙,"02","07","12","15","21","23","30","09","31","0","0","6,873,400","9","902,100","96","8,600","5,855","1,300","91,049","900","166,103","376,930,305"
ëÊ0449âÒ,"2021/12/10",ã‡ójì˙,"02","21","26","27","32","33","34","08","09","591,586,300","1","23,462,400","3","1,005,500","98","12,300","4,671","1,700","83,683","1,000","170,223","0"
ëÊ0448âÒ,"2021/12/03",ã‡ójì˙,"07","21","24","29","32","36","37","22","27","1,000,000,000","1","9,756,100","8","860,300","127","10,900","5,855","1,500","99,083","1,100","172,637","170,579,150"
ëÊ0447âÒ,"2021/11/26",ã‡ójì˙,"03","05","08","13","26","30","37","25","28","0","0","3,943,200","18","545,900","182","7,300","7,890","1,200","113,255","900","182,687","695,878,330"
ëÊ0446âÒ,"2021/11/19",ã‡ójì˙,"01","07","09","12","15","29","32","11","28","1,000,000,000","1","5,268,700","15","704,700","157","8,100","7,985","1,300","120,075","900","212,024","256,204,385"
